benchmark	cohort	position	lane	duration_ns	status	stdout_sha256	binary_sha256
future_await_race	20	1	candidate	36069199	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
future_await_race	20	2	go	4013480	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	20	3	baseline	26888740	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	21	1	go	4677644	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6e1fa65e745e54e35080b2201fe4b0f944a63d22a365beefe5c85f3bb39612c2
future_await_race	21	2	baseline	43903867	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	6af5e8e2dd0ed445e8b84ef270e9fb536cc4bc5dcd3653fbfc6e38ea1a8920eb
future_await_race	21	3	candidate	44676153	ok	33297798eeb96d6d471a6afe97ec8a8bf09eda0ce30e13917aed1db40fb930e4	8f51a5a01a87fbccb4e89043353db0683336285070c1c12ff223a1da364f6f84
await_channel_mux	1	1	baseline	330351154	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	1	2	candidate	319207934	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	1	3	go	5665560	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	2	1	candidate	398806494	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
