state	family	disposition	lines	bytes	sha256	path
untracked	semantic-abi	reviewed	239	7420	a8b50cf1c9fe653eff4459a17cc9655914b8a2e4c49e8fca4bc46eb05c2a397d	v12/interpreters/go/internal/semanticabi/flow/control.go
untracked	semantic-abi	reviewed	321	11053	2bf5121ebaa5921bddce6b82bc552981b3bfb4605338dabb24a7227f43a48175	v12/interpreters/go/internal/semanticabi/flow/expressions.go
untracked	semantic-abi	reviewed	289	9685	f5b60d0edd797badab06498b5844bdb065974ba1a06dc44a86aebb26027984ea	v12/interpreters/go/internal/semanticabi/flow/lower.go
untracked	semantic-abi	reviewed	155	5887	2dad9adaf0ef988cf16f2aa0f2f97dda77866452b59a58f4966c21c7892fc3bc	v12/interpreters/go/internal/semanticabi/flow/lower_test.go
untracked	semantic-abi	reviewed	142	4486	73d8269ad759adaa7d95985f3248c56498da156d188446448bd24e414e855e18	v12/interpreters/go/internal/semanticabi/flow/tables.go
untracked	semantic-abi	reviewed	300	8005	1cb785fc4e3566f9be6c555df0cd45a1f330ffda48c7fb3cba7633c15ea47c5b	v12/interpreters/go/internal/semanticabi/flow/types.go
untracked	semantic-abi	reviewed	137	3739	601e8c8f5a3d6b0f4a236e59bd7775bee5f5699b8e43aabe2b4e5d256b8628eb	v12/interpreters/go/internal/semanticabi/gobinding/binding.go
untracked	semantic-abi	reviewed	225	9494	4fd31b7b329c5bff5e96f0565ba94e0ed40ea4ba23ab54cfb17b0ff80f9575d6	v12/interpreters/go/internal/semanticabi/gobinding/binding_test.go
untracked	semantic-abi	reviewed	205	6390	0a153a706f5db9081e15dc0a8aee0838298213856db9893eec2982bf9f8a56db	v12/interpreters/go/internal/semanticabi/gobinding/decode.go
untracked	semantic-abi	reviewed	246	7557	887fc81e75895354d05819e412849574ba5999dee6ece4fe8b700884fd9981a6	v12/interpreters/go/internal/semanticabi/gobinding/decode_composites.go
untracked	semantic-abi	reviewed	233	7410	fddf409910c8cf607c6d43b1dd22a2e091982d2e65dc24a7b947de1161a744c9	v12/interpreters/go/internal/semanticabi/gobinding/decode_nominal.go
untracked	semantic-abi	reviewed	209	6919	37159be5348ef6f1d503088c84bd547cb683471f0d137db250698d84f5655571	v12/interpreters/go/internal/semanticabi/gobinding/encode.go
untracked	semantic-abi	reviewed	283	9976	48bc71bd7cbe49a29f9423903a29bb4e091a6f72b1b668d0270c5e6d14deb0e4	v12/interpreters/go/internal/semanticabi/gobinding/encode_composites.go
untracked	semantic-abi	reviewed	218	9047	9b2c0fc2e07112e5033658edcf49d62bc0ea2d79549e53e1f342ea879e1de756	v12/interpreters/go/internal/semanticabi/gobinding/encode_nominal.go
untracked	semantic-abi	reviewed	123	3595	99910420be1c0e9ea03fdff291615c353a71cd2023db2e7069c4d636fe26ae6d	v12/interpreters/go/internal/semanticabi/heapmodel/collect.go
untracked	semantic-abi	reviewed	111	3648	a64d590cd08a17344cbc5daa399c25529b9f150bb3c7b5b1a5a027bc8005a345	v12/interpreters/go/internal/semanticabi/heapmodel/fields.go
untracked	semantic-abi	reviewed	298	8823	e85b2ae10141c5ef51af78bea8eeec5d1b60254c3cd0688d0adc1533197ba3bf	v12/interpreters/go/internal/semanticabi/heapmodel/heap.go
untracked	semantic-abi	reviewed	183	5682	a9822fc64867549090f2a5c0e9ed5fc2b2863b7bcb396cea4db4f0602c1e35f6	v12/interpreters/go/internal/semanticabi/heapmodel/heap_test.go
untracked	semantic-abi	reviewed	147	3988	d5411b5d45150604d62f60c21303ba35ccad05a429ff71eef9fd841be2f9e112	v12/interpreters/go/internal/semanticabi/heapmodel/host.go
untracked	semantic-abi	reviewed	366	12827	e9067773982f1b7b4a0b84d3bec0fb48526e591d73591df48f7d3660dca727c1	v12/interpreters/go/internal/semanticabi/heapmodel/vectors.go
untracked	semantic-abi	reviewed	115	2036	a31e8a9e2c144c466d08c3d91428d9ede3a4b1890ed6a295911be020a3fbc563	v12/interpreters/go/internal/semanticabi/image.go
untracked	semantic-abi	reviewed	123	2617	933d98df7388e8a47e91d3cfc6f747b1f6f2ea41ca9d14d5dfa4ea6beac6290a	v12/interpreters/go/internal/semanticabi/manifest.go
untracked	semantic-abi	reviewed	222	18106	352d5d7d82d54c6e5dc773c7314f2be76ebdffc0ee7914c66d41b2ad89d60851	v12/interpreters/go/internal/semanticabi/manifest_generated.go
untracked	semantic-abi	reviewed	428	13304	35f2e8946358f2237d0998835de963208fc221b3824dd68b932e8c4f38419d8f	v12/interpreters/go/internal/semanticabi/shadow/lower.go
