File: able-stateful-interpreter.test
Build ID: 6f45f521c0dd61d3c2b0907a5b8d7f47b60868ff
Type: cpu
Time: 2026-07-23 11:48:18 CDT
Duration: 5.46s, Total samples = 5.44s (99.71%)
Showing nodes accounting for 4.34s, 79.78% of 5.44s total
Dropped 170 nodes (cum <= 0.03s)
Showing top 120 nodes out of 201
      flat  flat%   sum%        cum   cum%
     0.01s  0.18% 73.16%      0.03s  0.55%  able/interpreter-go/pkg/interpreter.(*Interpreter).runtimeDataFromEnv
     0.01s  0.18% 73.35%      0.03s  0.55%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).appendReturnValue
     0.01s  0.18% 73.53%      0.41s  7.54%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCachedResolvedMemberCall
     0.01s  0.18% 73.71%      0.43s  7.90%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCallName
     0.01s  0.18% 73.90%      0.09s  1.65%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCastOpcode
     0.01s  0.18% 74.08%      0.15s  2.76%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execJumpIfNotTypedPattern
     0.01s  0.18% 74.26%      0.31s  5.70%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execMemberAccess
     0.01s  0.18% 74.45%      0.47s  8.64%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).finishInlineReturn
     0.01s  0.18% 74.63%      0.23s  4.23%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).lookupCachedMemberMethodEntry
     0.01s  0.18% 74.82%      0.12s  2.21%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).lookupCachedScopeEntryWithVersionInternal
     0.01s  0.18% 75.00%      0.09s  1.65%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).memberMethodLexicalStateHeader
     0.01s  0.18% 75.18%      0.06s  1.10%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).restoreOrSetActiveLookupProgram (inline)
     0.01s  0.18% 75.37%      0.16s  2.94%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).runtimeData
     0.01s  0.18% 75.55%      0.11s  2.02%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).storeCachedScopeEntryWithVersions
     0.01s  0.18% 75.74%      0.04s  0.74%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).writeArraySlotValueFastChecked
     0.01s  0.18% 75.92%      0.09s  1.65%  able/interpreter-go/pkg/interpreter.bytecodeBoxedIntegerValue
     0.01s  0.18% 76.10%      0.15s  2.76%  able/interpreter-go/pkg/interpreter.bytecodeMaterializeRawValue
     0.01s  0.18% 76.29%      0.09s  1.65%  able/interpreter-go/pkg/interpreter.bytecodeNamedStructMemberPlanAt (inline)
     0.01s  0.18% 76.47%      0.03s  0.55%  able/interpreter-go/pkg/interpreter.bytecodePrepareExactNativeCallArgs
     0.01s  0.18% 76.65%      0.03s  0.55%  able/interpreter-go/pkg/interpreter.bytecodeSlotReadValue
     0.01s  0.18% 76.84%      0.03s  0.55%  able/interpreter-go/pkg/interpreter.canonicalTypeName
     0.01s  0.18% 77.02%      0.27s  4.96%  able/interpreter-go/pkg/runtime.(*Environment).LookupWithOwnerAndRevisionHint
     0.01s  0.18% 77.21%      0.17s  3.12%  able/interpreter-go/pkg/runtime.(*Environment).RevisionWithHint
     0.01s  0.18% 77.39%      0.11s  2.02%  able/interpreter-go/pkg/runtime.(*Environment).RuntimeData
     0.01s  0.18% 77.57%      0.10s  1.84%  able/interpreter-go/pkg/runtime.(*Environment).SetRuntimeData
     0.01s  0.18% 77.76%      0.03s  0.55%  able/interpreter-go/pkg/runtime.IntegerValue.ToInt64
     0.01s  0.18% 77.94%      0.23s  4.23%  gcWriteBarrier
     0.01s  0.18% 78.12%      0.03s  0.55%  runtime.(*wbBuf).get1 (inline)
     0.01s  0.18% 78.31%      0.07s  1.29%  runtime.gcDrainN
     0.01s  0.18% 78.49%      0.33s  6.07%  runtime.mallocgc
     0.01s  0.18% 78.68%      0.18s  3.31%  runtime.mallocgcSmallScanNoHeader
     0.01s  0.18% 78.86%      0.05s  0.92%  runtime.mapaccess2
     0.01s  0.18% 79.04%      0.04s  0.74%  runtime.mapassign_fast64
     0.01s  0.18% 79.23%      0.06s  1.10%  runtime.scanblock
     0.01s  0.18% 79.41%      0.28s  5.15%  runtime.wbBufFlush.func1
     0.01s  0.18% 79.60%      0.27s  4.96%  runtime.wbBufFlush1
     0.01s  0.18% 79.78%      0.32s  5.88%  sync.(*RWMutex).RLock (inline)
         0     0% 79.78%      4.16s 76.47%  able/interpreter-go/pkg/interpreter.(*GoroutineExecutor).runTask
         0     0% 79.78%      0.84s 15.44%  able/interpreter-go/pkg/interpreter.(*Interpreter).CallFunction
         0     0% 79.78%      0.03s  0.55%  able/interpreter-go/pkg/interpreter.(*Interpreter).acquireTransientRuntimeScopeEnv (inline)
         0     0% 79.78%      0.03s  0.55%  able/interpreter-go/pkg/interpreter.(*Interpreter).acquireTransientRuntimeScopeEnvWithCapacity
         0     0% 79.78%      0.84s 15.44%  able/interpreter-go/pkg/interpreter.(*Interpreter).callCallableValue (inline)
