state	review_order	family	disposition	governing_record	lines	bytes	sha256	path
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	16	1239	9cb1d6c8214727b2fb17a6db1f336e7a4f9ab25e4fb91d9e9c1238283b28e194	v12/docs/perf-baselines/2026-07-29-generic-slot-buffer-scorecard-source.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	112	3320	b219fd516a1935f253d733e2c73681c9b65bdce4dcb98856a386b359c68f8148	v12/docs/perf-baselines/2026-07-29-nullable-scalar-baseline-generic-slot-buffer.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	112	3338	254b985d1982c07747781bf42069819c977cc1367f3989b0d1049a4aeb8bef04	v12/docs/perf-baselines/2026-07-29-nullable-scalar-baseline-inventory-reconciliation.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	114	3367	7e02aa7a713360af5aea5d43b683e96cea2bbd796cd6ca1c572f97d8ab656205	v12/docs/perf-baselines/2026-07-29-nullable-scalar-baseline-transaction-ledger-audit.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	112	3319	17cf8258aa7b51bae903e35fb0930a554c84cc4f66c0404607fa1f4443dac7df	v12/docs/perf-baselines/2026-07-29-nullable-scalar-candidate-generic-slot-buffer.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	112	3337	5725b3aafd62e31eb0a4e5a0885b12e2062a911121894809b06c8cb8a19f0d04	v12/docs/perf-baselines/2026-07-29-nullable-scalar-candidate-inventory-reconciliation.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	114	3365	1c04d2089659f868f5fb9bd470aa75b9b1f08e7f5c89f1d653b72d925da13a87	v12/docs/perf-baselines/2026-07-29-nullable-scalar-candidate-transaction-ledger-audit.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	173	5520	ec6adbadb95e4df29f745ae5333801e6142b0e08298cb5cccf1163822ae5e04a	v12/docs/perf-baselines/2026-07-29-nullable-scalar-go-references.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	15	1002	8a903cedad3521b6190aa31935da4af7eeea25a898c61cfa08712896cf693b26	v12/docs/perf-baselines/2026-07-29-nullable-scalar-go-references.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	112	3278	40985c2f9c394b18227f2d03e6862260390643bc0653fd39ac41aa771897286b	v12/docs/perf-baselines/2026-07-29-nullable-scalar-pidigits-baseline.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	112	3277	0fcdb63ef77cffb046dfde576e9e913f9ec5ebc655303726b01409d8589b566e	v12/docs/perf-baselines/2026-07-29-nullable-scalar-pidigits-candidate.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	112	3275	722b46398d0db5d68eb097ec7cae905be736142d30f34dcc5a7b01f5bbc8b09b	v12/docs/perf-baselines/2026-07-29-nullable-scalar-pidigits-cpu12-baseline.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	112	3275	e2f4f5e97f8c80d8cd5d6df8546ea36cefdf55e31ed78110a8f9e339edb1f0d3	v12/docs/perf-baselines/2026-07-29-nullable-scalar-pidigits-cpu12-candidate.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	679	23455	6bf1f635a7e30d214e2649f5427a00dc3c2141f232b20c2375db86100fa42485	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-async-bytecode-01-selected.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	16	1252	4a2e5ca13f89aaab4bc971785b26f84a2ad4db862b3cc6eb40765b9eaae6b9dd	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-async-bytecode-01-selected.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	886	30639	2e4a4d63cea1501c0516b2a85260c290ff8d0f9d02ab01ba9f63562ec784eb44	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-async-bytecode-02-selected.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	17	1448	fcefa477f36206257c9f9fd5a6d04d40cf7fb53717015416ea31f644529f3bf4	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-async-bytecode-02-selected.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	549	18837	225a5a5b31189dfe17136ec1ff8eedef88fd73c07488c59f2e7d7f5989b0f617	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-async-compiled-01-selected.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	16	1115	1739410b32afa9f0a57b604f20ad783aef707c4603168b1cd9f038bf68fa86ab	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-async-compiled-01-selected.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	713	24512	f3d8186bef53795e7cc2879c7e53794808ad688205b301d2600450aa6101277e	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-async-compiled-02-selected.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	17	1291	fac46bbb8574a6fa1317bb7c4395a6bd7f156613a13a2d737470e0e58486b6bc	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-async-compiled-02-selected.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	381	12346	8385477f918c373d9ba0812f458922d6c0546500f494ebf7151f4947e7366599	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-async-go-reference.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	19	1816	bac67fd16b7980fae265543a5ca90fe35049b87ca7ef10d9411ac113f91ae9cf	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-async-go-reference.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	793	25710	447917e2baaf54a6e877f313507a99a0253428a55404be83db3f3e1a35f6f784	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-async-interpreter-reference-selected.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	26	3667	9a02d46d542563f48bdc63edb6a25923d544c640a4ed3e7c7706581c09d84a9e	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-async-interpreter-reference-selected.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	1340	46434	7633c6db6cee5281248b132e2b1817d51f9fda5e56704f60b77a2d7f55cd9f26	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-coverage-extra-bytecode-01-selected.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	19	1832	b48cb82ae6006aa250d2d68dd2059cc1d5ae07a0e804f5da69d2fd9ae958ae78	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-coverage-extra-bytecode-01-selected.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	695	24040	a29aca53412aee62a1e80624c59afd9abfa6f568dab3ede97a04e52c87570346	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-coverage-extra-bytecode-02-selected.json
