File: compiled
Build ID: 486c97beb49084dd1a04192783747a196accdc33
Type: cpu
Time: 2026-07-28 09:43:04 CDT
Duration: 1.43s, Total samples = 1.58s (110.65%)
Showing nodes accounting for 1.39s, 87.97% of 1.58s total
Showing top 120 nodes out of 175
      flat  flat%   sum%        cum   cum%
         0     0% 78.48%      0.02s  1.27%  main.__able_compiled_fn_read_u32_ctx
         0     0% 78.48%      0.02s  1.27%  main.__able_hash_map_keys_equal
     0.01s  0.63% 79.11%      0.02s  1.27%  main.__able_struct_named_field_value
         0     0% 79.11%      0.02s  1.27%  main.__able_union__EventRecord_or_runtime_ErrorValue_wrap_runtime_ErrorValue (inline)
         0     0% 79.11%      0.02s  1.27%  main.__able_union_int64_or_runtime_ErrorValue_wrap_int64 (inline)
     0.01s  0.63% 79.75%      0.02s  1.27%  runtime.bulkBarrierPreWrite
         0     0% 79.75%      0.02s  1.27%  runtime.convT64
         0     0% 79.75%      0.02s  1.27%  runtime.deductSweepCredit
     0.01s  0.63% 80.38%      0.02s  1.27%  runtime.findObject
         0     0% 80.38%      0.02s  1.27%  runtime.makemap_small
         0     0% 80.38%      0.02s  1.27%  runtime.mapaccess1_fast64
     0.02s  1.27% 81.65%      0.02s  1.27%  runtime.memhash64
         0     0% 81.65%      0.02s  1.27%  runtime.nilinterhash
     0.02s  1.27% 82.91%      0.02s  1.27%  runtime.releasem (inline)
         0     0% 82.91%      0.02s  1.27%  runtime.sweepone
     0.01s  0.63% 83.54%      0.02s  1.27%  runtime.typehash
         0     0% 83.54%      0.01s  0.63%  able/interpreter-go/pkg/compiler/bridge.ToDynamicI64
     0.01s  0.63% 84.18%      0.01s  0.63%  able/interpreter-go/pkg/compiler/bridge.unwrapInterface
     0.01s  0.63% 84.81%      0.01s  0.63%  able/interpreter-go/pkg/runtime.IntegerValue.ToInt64
     0.01s  0.63% 85.44%      0.01s  0.63%  able/interpreter-go/pkg/runtime.NewSmallInt (inline)
     0.01s  0.63% 86.08%      0.01s  0.63%  aeshashbody
     0.01s  0.63% 86.71%      0.01s  0.63%  internal/abi.(*MapType).IndirectElem (inline)
     0.01s  0.63% 87.34%      0.01s  0.63%  internal/runtime/atomic.(*Uint64).CompareAndSwap (inline)
     0.01s  0.63% 87.97%      0.01s  0.63%  internal/runtime/atomic.(*UnsafePointer).StoreNoWB (inline)
